Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Family,Dystopia_Residual,Standard_Error
Switzerland,Western Europe,1,7.586999893,1.396510005,0.941429973,0.665570021,0.419779986,0.29677999,1.349509954,2.517379999,0.034109998
Iceland,Western Europe,2,7.56099987,1.302320004,0.947839975,0.628769994,0.141450003,0.436300009,1.402230024,2.702009916,0.048840001
Denmark,Western Europe,3,7.52699995,1.325479984,0.874639988,0.649380028,0.483570009,0.341390014,1.360579967,2.492039919,0.03328
Norway,Western Europe,4,7.521999836,1.458999991,0.885209978,0.669730008,0.365029991,0.346989989,1.330950022,2.465310097,0.038800001
Canada,North America,5,7.427000046,1.326290011,0.905629992,0.632969975,0.329569995,0.458110005,1.322610021,2.451760054,0.035530001
Finland,Western Europe,6,7.406000137,1.290249944,0.889110029,0.641690016,0.413720012,0.233510002,1.318259954,2.61954999,0.031399999
Netherlands,Western Europe,7,7.377999783,1.329439998,0.892840028,0.615760028,0.31814,0.476099998,1.280169964,2.465699911,0.02799
Sweden,Western Europe,8,7.363999844,1.331709981,0.910870016,0.659799993,0.438439995,0.362619996,1.28907001,2.371190071,0.031569999
New Zealand,Australia and New Zealand,9,7.285999775,1.250180006,0.908370018,0.639379978,0.429219991,0.475010008,1.319669962,2.26425004,0.033709999
Australia,Australia and New Zealand,10,7.28399992,1.333580017,0.93155998,0.651239991,0.356370002,0.43562001,1.30922997,2.266459942,0.040830001
Israel,Middle East and Northern Africa,11,7.277999878,1.228569984,0.913869977,0.413190007,0.077849999,0.331719995,1.223930001,3.088540077,0.034699999
Costa Rica,Latin America and Caribbean,12,7.225999832,0.955780029,0.860270023,0.633759975,0.105829999,0.254970014,1.237879992,3.177279949,0.044539999
Austria,Western Europe,13,7.199999809,1.337229967,0.89042002,0.624329984,0.186759993,0.330879986,1.297039986,2.533200026,0.03751
Mexico,Latin America and Caribbean,14,7.186999798,1.020539999,0.814440012,0.481810004,0.213119999,0.140740007,0.914510012,3.60213995,0.041760001
United States,North America,15,7.118999958,1.394510031,0.861790001,0.546039999,0.158899993,0.401050001,1.247110009,2.510109901,0.038389999
Brazil,Latin America and Caribbean,16,6.982999802,0.981239974,0.697019994,0.49048999,0.175209999,0.145740002,1.232869983,3.260010004,0.040759999
Luxembourg,Western Europe,17,6.946000099,1.563910007,0.918940008,0.615830004,0.377979994,0.280339986,1.219630003,1.969609976,0.034990001
Ireland,Western Europe,18,6.940000057,1.335960031,0.895330012,0.617770016,0.287030011,0.459010005,1.369480014,1.975700021,0.036759999
Belgium,Western Europe,19,6.936999798,1.307819963,0.896669984,0.584500015,0.225400001,0.222499996,1.285660028,2.414839983,0.035950001
United Arab Emirates,Middle East and Northern Africa,20,6.901000023,1.427270055,0.809249997,0.641569972,0.385829985,0.264279991,1.125749946,2.247430086,0.037289999
United Kingdom,Western Europe,21,6.867000103,1.266370058,0.909430027,0.596249998,0.320670009,0.519119978,1.285480022,1.969939947,0.01866
Oman,Middle East and Northern Africa,22,6.853000164,1.360110044,0.762759984,0.632740021,0.325239986,0.215419993,1.081820011,2.474889994,0.053350002
Venezuela,Latin America and Caribbean,23,6.809999943,1.044239998,0.72052002,0.429080009,0.110689998,0.05841,1.255959988,3.191309929,0.06476
Singapore,Southeastern Asia,24,6.797999859,1.521860003,1.025249958,0.542519987,0.4921,0.311049998,1.019999981,1.885010004,0.037799999
Panama,Latin America and Caribbean,25,6.785999775,1.063529968,0.796609998,0.542100012,0.092699997,0.244340003,1.198500037,2.848479986,0.0491
Germany,Western Europe,26,6.75,1.32791996,0.891860008,0.614769995,0.218429998,0.282139987,1.29937005,2.115689993,0.018479999
