Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,GDP_Per_Capita,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Family,Dystopia_Residual,Lower_Confidence_Interval,Upper_Confidence_Interval
Denmark,Western Europe,1,7.526000023,1.441779971,0.795040011,0.579410017,0.44453001,0.361710012,1.163740039,2.739389896,7.460000038,7.592000008
Switzerland,Western Europe,2,7.508999825,1.527330041,0.863030016,0.585569978,0.412030011,0.280829996,1.145239949,2.694629908,7.427999973,7.590000153
Iceland,Western Europe,3,7.500999928,1.426659942,0.867330015,0.566240013,0.149749994,0.476779997,1.183259964,2.831370115,7.333000183,7.669000149
Norway,Western Europe,4,7.498000145,1.577440023,0.795790017,0.596090019,0.357760012,0.37895,1.126899958,2.664649963,7.421000004,7.574999809
Finland,Western Europe,5,7.413000107,1.405979991,0.810909986,0.571039975,0.410039991,0.254920006,1.134639978,2.825959921,7.350999832,7.474999905
Canada,North America,6,7.403999805,1.440150023,0.827600002,0.573700011,0.31329,0.448339999,1.096099973,2.704849958,7.335000038,7.47300005
Netherlands,Western Europe,7,7.339000225,1.464679956,0.81230998,0.552110016,0.299270004,0.474159986,1.029119968,2.707489967,7.28399992,7.394000053
New Zealand,Australia and New Zealand,8,7.334000111,1.360659957,0.830959976,0.581470013,0.419039994,0.494010001,1.172780037,2.475529909,7.263999939,7.403999805
Australia,Australia and New Zealand,9,7.313000202,1.444429994,0.851199985,0.568369985,0.323309988,0.474070013,1.104760051,2.546499968,7.241000175,7.385000229
Sweden,Western Europe,10,7.290999889,1.451810002,0.831210017,0.582180023,0.408670008,0.382539988,1.087640047,2.547339916,7.227000237,7.355000019
Israel,Middle East and Northern Africa,11,7.267000198,1.337659955,0.849170029,0.36432001,0.087279998,0.32288,0.995369971,3.310290098,7.198999882,7.335000038
Austria,Western Europe,12,7.118999958,1.450379968,0.805649996,0.543550014,0.213479996,0.328649998,1.083829999,2.693429947,7.045000076,7.19299984
United States,North America,13,7.104000092,1.507959962,0.778999984,0.481629997,0.148680001,0.410769999,1.047819972,2.72781992,7.019999981,7.188000202
Costa Rica,Latin America and Caribbean,14,7.086999893,1.068789959,0.761460006,0.552250028,0.105470002,0.225529999,1.021520019,3.35168004,6.999000072,7.175000191
Puerto Rico,Latin America and Caribbean,15,7.039000034,1.359429955,0.777580023,0.468230009,0.122749999,0.22202,1.081130028,3.007600069,6.794000149,7.28399992
Germany,Western Europe,16,6.993999958,1.447870016,0.81487,0.534659982,0.285510004,0.304520011,1.097740054,2.509310007,6.929999828,7.058000088
Brazil,Latin America and Caribbean,17,6.952000141,1.08754003,0.614149988,0.404249996,0.141660005,0.157759994,1.039379954,3.507329941,6.875,7.028999805
Belgium,Western Europe,18,6.928999901,1.425390005,0.819589972,0.51354003,0.262479991,0.242400005,1.052489996,2.613549948,6.861000061,6.997000217
Ireland,Western Europe,19,6.907000065,1.483410001,0.814549983,0.540080011,0.297540009,0.449629992,1.161569953,2.159879923,6.835999966,6.978000164
Luxembourg,Western Europe,20,6.870999813,1.697520018,0.845420003,0.548699975,0.353289992,0.275709987,1.039989948,2.110549927,6.803999901,6.938000202
Mexico,Latin America and Caribbean,21,6.777999878,1.115079999,0.711430013,0.377090007,0.18355,0.117349997,0.714600027,3.559060097,6.679999828,6.875999928
Singapore,Southeastern Asia,22,6.738999844,1.645550013,0.947189987,0.487699986,0.469870001,0.327060014,0.867579997,1.993749976,6.673999786,6.803999901
United Kingdom,Western Europe,23,6.724999905,1.402830005,0.809909999,0.500360012,0.273990005,0.501559973,1.08671999,2.149990082,6.646999836,6.802999973
Chile,Latin America and Caribbean,24,6.704999924,1.216699958,0.818830013,0.377889991,0.11451,0.315950006,0.90587002,2.955049992,6.614999771,6.795000076
Panama,Latin America and Caribbean,25,6.701000214,1.18306005,0.708350003,0.489270002,0.084229998,0.241799995,0.989120007,3.005589962,6.600999832,6.801000118
Argentina,Latin America and Caribbean,26,6.650000095,1.151370049,0.697109997,0.422839999,0.072959997,0.109889999,1.066120028,3.129849911,6.559999943,6.739999771
Czech Republic,Central and Eastern Europe,27,6.596000195,1.309149981,0.763759971,0.414180011,0.039859999,0.099289998,1.00793004,2.962110043,6.514999866,6.677000046
United Arab Emirates,Middle East and Northern Africa,28,6.572999954,1.573519945,0.729929984,0.562150002,0.355610013,0.26591,0.871140003,2.215070009,6.493999958,6.65199995
