Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Family,Dystopia_Residual,Whisker_high,Whisker_low
Norway,Western Europe,1,7.537000179,1.616463184,0.796666503,0.635422587,0.315963835,0.362012237,1.53352356,2.277026653,7.594444752,7.479555607
Denmark,Western Europe,2,7.521999836,1.482383013,0.792565525,0.626006722,0.400770068,0.355280489,1.551121593,2.313707352,7.581727982,7.46227169
Iceland,Western Europe,3,7.504000187,1.48063302,0.833552122,0.627162635,0.153526559,0.475540221,1.610574007,2.322715282,7.622030258,7.385970116
Switzerland,Western Europe,4,7.493999958,1.564979553,0.858131289,0.620070577,0.367007285,0.290549278,1.516911745,2.276716232,7.561772346,7.42622757
Finland,Western Europe,5,7.468999863,1.443571925,0.80915767,0.617950857,0.382611543,0.245482773,1.540246725,2.430181503,7.527542114,7.410457611
Netherlands,Western Europe,6,7.376999855,1.503944635,0.810696125,0.585384488,0.282661825,0.47048983,1.428939223,2.294804096,7.427425861,7.326573849
Canada,North America,7,7.315999985,1.479204416,0.834557652,0.611100912,0.287371516,0.435539722,1.481348991,2.187264442,7.384402752,7.247597218
New Zealand,Australia and New Zealand,8,7.31400013,1.405706048,0.816759706,0.61406213,0.382816702,0.500005126,1.548195124,2.046456337,7.379510403,7.248489857
Sweden,Western Europe,9,7.28399992,1.494387269,0.830875158,0.612924099,0.384398729,0.385399252,1.478162169,2.097537994,7.344094753,7.223905087
Australia,Australia and New Zealand,10,7.28399992,1.484414935,0.843886793,0.601607382,0.30118373,0.47769925,1.510041952,2.065210819,7.356651306,7.211348534
Israel,Middle East and Northern Africa,11,7.212999821,1.375382423,0.838404,0.405988604,0.0852421,0.330082655,1.376289964,2.801757336,7.279853344,7.146146297
Costa Rica,Latin America and Caribbean,12,7.078999996,1.109706283,0.759509265,0.58013165,0.100106589,0.214613229,1.416403651,2.898639202,7.168111801,6.989888191
Austria,Western Europe,13,7.006000042,1.487097263,0.815328419,0.56776619,0.221060365,0.316472322,1.459944963,2.138506413,7.070669651,6.941330433
United States,North America,14,6.993000031,1.546259284,0.774286628,0.505740523,0.135638788,0.392578781,1.419920564,2.218113422,7.074656963,6.911343098
Ireland,Western Europe,15,6.977000237,1.535706639,0.809782624,0.573110342,0.298388153,0.427858323,1.558231115,1.773869038,7.04335165,6.910648823
Germany,Western Europe,16,6.951000214,1.487923384,0.798950732,0.562511384,0.276731938,0.33626917,1.472520351,2.015769958,7.005381584,6.896618843
Belgium,Western Europe,17,6.890999794,1.463780761,0.818091869,0.539770722,0.251343131,0.231503338,1.462312698,2.124210358,6.95582056,6.826179028
Luxembourg,Western Europe,18,6.862999916,1.741943598,0.845089495,0.596627891,0.318834424,0.283180982,1.457583666,1.619512081,6.923686028,6.802313805
United Kingdom,Western Europe,19,6.714000225,1.44163394,0.805335939,0.508190036,0.265428066,0.492774159,1.49646008,1.704143524,6.783791542,6.644208908
Chile,Latin America and Caribbean,20,6.65199995,1.25278461,0.819479704,0.376895279,0.082287982,0.326662421,1.284024954,2.509585857,6.73925066,6.564749241
United Arab Emirates,Middle East and Northern Africa,21,6.647999763,1.626343369,0.726798236,0.60834527,0.324489564,0.360941947,1.266410232,1.734703541,6.722047329,6.573952198
Brazil,Latin America and Caribbean,22,6.635000229,1.10735321,0.616552353,0.437453747,0.111092761,0.162349895,1.431306005,2.769267082,6.725469589,6.544530869
Czech Republic,Central and Eastern Europe,23,6.609000206,1.352682352,0.754444003,0.490946174,0.036872927,0.088106759,1.433885217,2.451861858,6.683862686,6.534137726
Argentina,Latin America and Caribbean,24,6.598999977,1.185295463,0.695137084,0.494519204,0.059739888,0.109457061,1.440451145,2.614005327,6.690084934,6.50791502
Mexico,Latin America and Caribbean,25,6.578000069,1.153183818,0.709978998,0.412730008,0.132774115,0.120990433,1.21086216,2.837154865,6.671148777,6.48485136
Singapore,Southeastern Asia,26,6.572000027,1.69227767,0.949492395,0.549840569,0.464307785,0.345965981,1.353814363,1.216362,6.636723042,6.507277012
Malta,Western Europe,27,6.52699995,1.343279839,0.821944237,0.588767052,0.153066069,0.574730575,1.488411665,1.556862831,6.598396778,6.455603123
Uruguay,Latin America and Caribbean,28,6.453999996,1.217559695,0.719216824,0.579392254,0.178061873,0.175096929,1.412227869,2.172409534,6.545906067,6.362093925
Guatemala,Latin America and Caribbean,29,6.453999996,0.872001946,0.54023999,0.531310618,0.077223279,0.283488393,1.255585194,2.893891096,6.566874027,6.341125965
Panama,Latin America and Caribbean,30,6.452000141,1.233748436,0.706156135,0.550026834,0.070983924,0.210556939,1.373192549,2.307199955,6.557130814,6.346869469
France,Western Europe,31,6.441999912,1.430923462,0.844465852,0.470222116,0.172502428,0.129762307,1.387776852,2.005954742,6.515767574,6.36823225
Thailand,Southeastern Asia,32,6.423999786,1.127868772,0.647239029,0.580200732,0.031612735,0.57212311,1.425792456,2.039508343,6.50911665,6.338882923
Taiwan Province of China,UNKNOWN,33,6.421999931,1.433626533,0.793984234,0.361466587,0.063829236,0.258360475,1.384565353,2.126607418,6.494596004,6.349403858
Spain,Western Europe,34,6.402999878,1.384397864,0.8889606,0.40878123,0.070914097,0.190133572,1.532090902,1.92775774,6.471055031,6.334944725
Qatar,Middle East and Northern Africa,35,6.375,1.870765686,0.710098088,0.604130983,0.439299256,0.33047387,1.27429688,1.14546442,6.568476677,6.181523323
Colombia,Latin America and Caribbean,36,6.356999874,1.070622325,0.595027924,0.477487415,0.046668742,0.149014473,1.402182937,2.616068125,6.452020168,6.26197958
Saudi Arabia,Middle East and Northern Africa,37,6.343999863,1.530623555,0.59014833,0.449750572,0.273432255,0.147616014,1.286677599,2.065429688,6.44416666,6.243833065
Trinidad and Tobago,Latin America and Caribbean,38,6.168000221,1.361355901,0.519983292,0.518630743,0.008964816,0.325296462,1.380228519,2.053247452,6.3815341,5.954466343
Kuwait,Middle East and Northern Africa,39,6.105000019,1.632952452,0.632105708,0.496337593,0.21515955,0.228289798,1.259698749,1.640425205,6.191956997,6.018043041
Slovakia,Central and Eastern Europe,40,6.09800005,1.325393558,0.712732911,0.295817465,0.024210852,0.136544481,1.505059242,2.097776651,6.177348614,6.018651485
Bahrain,Middle East and Northern Africa,41,6.086999893,1.488412261,0.653133035,0.536746919,0.25704217,0.172668487,1.323110461,1.656149387,6.178988934,5.995010853
Malaysia,Southeastern Asia,42,6.084000111,1.29121542,0.618784428,0.402264982,0.065600708,0.41660893,1.284646034,2.004448891,6.179979801,5.98802042
Nicaragua,Latin America and Caribbean,43,6.071000099,0.737299204,0.653095961,0.447551847,0.130687982,0.301674217,1.28721571,2.513930559,6.186583519,5.955416679
Ecuador,Latin America and Caribbean,44,6.007999897,1.000820398,0.685636222,0.455198199,0.140134647,0.150112465,1.286168814,2.290352583,6.105847836,5.910151958
El Salvador,Latin America and Caribbean,45,6.002999783,0.909784496,0.596018553,0.43245253,0.08998096,0.078257985,1.182125092,2.714593887,6.108634949,5.897364616
Poland,Central and Eastern Europe,46,5.97300005,1.291787863,0.699475348,0.520342112,0.059307806,0.158465967,1.44571197,1.797722816,6.053908348,5.892091751
Uzbekistan,Central and Eastern Europe,47,5.971000195,0.786441088,0.498272628,0.658248663,0.246528223,0.415983647,1.54896915,1.816913605,6.065537453,5.876462936
Italy,Western Europe,48,5.964000225,1.395066619,0.853144348,0.256450713,0.028028091,0.172789648,1.444923282,1.813312054,6.042737007,5.885263443
Russia,Central and Eastern Europe,49,5.962999821,1.281778097,0.547349334,0.373783112,0.032962881,0.052263822,1.469282389,2.205607414,6.030274868,5.895724773
Belize,Latin America and Caribbean,50,5.955999851,0.907975316,0.450191766,0.547509372,0.096581072,0.240015641,1.081417799,2.631955624,6.19724226,5.714757442
Japan,Eastern Asia,51,5.920000076,1.416915178,0.913475871,0.505625546,0.163760737,0.120572768,1.436337829,1.363223553,5.990719318,5.849280834
